pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_masse,st_teff,st_rad,st_mass
HD 70642 b,HD 70642,Radial Velocity,2003,2124.54,,,5732,0.984,1.078
Kepler-20 d,Kepler-20,Transit,2011,77.61184,2.75,20.1,5455,0.944,0.912
Kepler-976 b,Kepler-976,Transit,2016,105.9564148,3.81,,5308,0.796,0.887
Kepler-188 c,Kepler-188,Transit,2014,5.996537113,,,5704,1.06544,1.02
K2-151 b,K2-151,Transit,2018,3.835376,1.5,,,0.45,
HAT-P-54 b,HAT-P-54,Transit,2015,3.7999139,10.8,,4171,0.64,
Kepler-61 b,Kepler-61,Transit,2013,59.87756,2.15,,4017,0.62,0.635
Kepler-818 b,Kepler-818,Transit,2016,10.0354073,,,5624,0.913187,1
Kepler-407 b,Kepler-407,Transit,2014,0.669309686,1.21,,5626,1.067,1.051
WASP-15 b,WASP-15,Transit,2009,3.7520997,,,,,
Kepler-890 b,Kepler-890,Transit,2016,,10.703,,6235,1.39,
WASP-58 b,WASP-58,Transit,2012,5.01718,15.35633,285.72917,5800,1.17,0.94
Kepler-199 c,Kepler-199,Transit,2014,67.09342695,,,5698.3,0.917774,1.01
Kepler-902 b,Kepler-902,Transit,2016,40.10999,3,,5966,0.93,1.024
Kepler-176 b,Kepler-176,Transit,2014,5.43312169,1.268,,5106,0.787,0.86
Kepler-1295 b,Kepler-1295,Transit,2016,3.81371423,1.37,,5547,0.82,0.918
Kepler-903 c,Kepler-903,Transit,2016,62.9147,1.98,,5726,0.85,0.959
K2-369 b,K2-369,Transit,2022,5.7619248,1.37,,5350,0.83,
Kepler-647 c,Kepler-647,Transit,2020,29.66629667,2.7,,5955,1.053,0.93
Kepler-1552 b,Kepler-1552,Transit,2016,184.771853,2.17,,5220,0.677,0.714
Kepler-1998 b,Kepler-1998,Transit,2023,3.03263998,0.69419998,,5640,0.921,0.962
OGLE-2018-BLG-1126L b,OGLE-2018-BLG-1126L,Microlensing,2022,,,19.06970442,,,0.69
Kepler-1907 c,Kepler-1907,Transit,2021,14.86386959,7.44,,4866,0.665,0.673
Kepler-480 b,Kepler-480,Transit,2016,4.919583795,2.43,,6495,1.168,1.19
WASP-130 b,WASP-130,Transit,2016,11.5509796,,,5625,0.96,1.04
KELT-9 b,KELT-9,Transit,2017,1.48111871,,,,,
Kepler-1608 b,Kepler-1608,Transit,2016,16.47375729,,,,,
WASP-76 b,WASP-76,Transit,2016,1.80988452,,,,,
Kepler-150 d,Kepler-150,Transit,2014,12.56092796,2.671,,5588,0.863,0.956
K2-232 b,K2-232,Transit,2018,11.168459,11.859122,123.00021,5888,1.233,1.039
Kepler-392 b,Kepler-392,Transit,2014,5.341853157,,,6026.51,1.14758,1.12
Kepler-262 b,Kepler-262,Transit,2014,13.0607936,,,5435.5,0.959919,0.95
Kepler-391 b,Kepler-391,Transit,2014,7.41683033,,,5032.18,2.74314,
HD 8574 b,HD 8574,Radial Velocity,2002,227,,,6050,,1.122
Kepler-1203 b,Kepler-1203,Transit,2016,0.5879933,1.01,,4115,0.532,0.557
Kepler-1347 b,Kepler-1347,Transit,2016,14.00948631,0.98,,5153,0.767,0.763
Kepler-258 c,Kepler-258,Transit,2014,33.6529701,3.17,,4951,0.77,0.82
Kepler-605 c,Kepler-605,Transit,2016,2.358951515,0.8,,5438,0.82,0.92
GJ 229 A c,GJ 229,Radial Velocity,2020,121.995,,,,,0.58
Kepler-1642 b,Kepler-1642,Transit,2016,12.2064304,,,5095,0.805577,0.855
Kepler-79 c,Kepler-79,Transit,2012,27.4029,3.72,5.9,6174,1.302,1.165
GJ 3634 b,GJ 3634,Radial Velocity,2010,2.64561,,8.4,,0.43,0.45
Kepler-1588 b,Kepler-1588,Transit,2016,7.84931877,,,5697.81,1.48384,1.01
Kepler-368 c,Kepler-368,Transit,2014,72.3826983,,,5395.36,2.18669,0.94
Kepler-1263 b,Kepler-1263,Transit,2016,4.5513988,,,5157.25,0.777685,0.87
Kepler-83 c,Kepler-83,Transit,2012,20.09,2.33,11.4,,0.592,0.632
Kepler-1243 b,Kepler-1243,Transit,2016,16.8320695,,,5492.85,0.834193,0.96
HD 222582 b,HD 222582,Radial Velocity,1999,572.38,,,5790,1.13,1.12
Kepler-1521 b,Kepler-1521,Transit,2016,47.14840805,6.46,,5089,1.945,1.029
Kepler-408 b,Kepler-408,Transit,2014,2.465031,0.78,,6027,1.31,1.055
Kepler-1915 b,Kepler-1915,Transit,2021,13.8353959,,,5743,1.08403,1.03
Kepler-751 b,Kepler-751,Transit,2016,17.44490636,2.46,,5387,0.84,0.87
Kepler-211 b,Kepler-211,Transit,2014,4.138536769,2.49,,5244,1.56,0.929
Kepler-1167 b,Kepler-1167,Transit,2016,1.003931703,,,4806,0.778285,0.78
TOI-2274 b,TOI-2274,Transit,2024,2.679616364,1.83347689,,3943,0.63072,
Kepler-615 b,Kepler-615,Transit,2016,10.35585454,,,,,
HD 134060 b,HD 134060,Radial Velocity,2019,3.2696,,,5966,,1.095
Kepler-1745 b,Kepler-1745,Transit,2021,3.016190052,1.92872921,,5611,1.4,0.995
Kepler-367 c,Kepler-367,Transit,2014,53.5782,1.08,,4739,0.654,0.677
Kepler-1315 c,Kepler-1315,Transit,2021,6.5660634,,,4710.62,0.728751,0.75
Kepler-385 b,Kepler-385,Transit,2014,10.04372368,,,5829,1.157,1.05
TOI-1347 b,TOI-1347,Transit,2024,0.847421802,1.75365438,,5300,0.846387,
Kepler-223 e,Kepler-223,Transit,2014,19.7240891,31.46,,5825,1.003,0.902
Kepler-26 c,Kepler-26,Transit,2011,,2.976,,3884,0.606,
Kepler-252 b,Kepler-252,Transit,2014,6.66834872,1.2,,4208,0.59,0.61
Kepler-176 c,Kepler-176,Transit,2014,12.75934834,2.371,,5106,0.787,0.86
OGLE-2018-BLG-0506L b,OGLE-2018-BLG-0506L,Microlensing,2022,,,16.3,,,0.63
HD 189733 b,HD 189733,Radial Velocity,2005,2.21857567,,,,,
Kepler-271 b,Kepler-271,Transit,2014,10.43547805,1.32,,5516,0.895,0.82
Kepler-1693 c,Kepler-1693,Transit,2021,5.363717,0.89,,5677,0.84,0.943
Kepler-11 g,Kepler-11,Transit,2010,118.37867,,50.4464,,1.064,0.986
Kepler-284 c,Kepler-284,Transit,2014,37.5140693,2.95,,5487,0.87,0.91
Kepler-1484 b,Kepler-1484,Transit,2016,30.4549136,2.3,,6283,0.984,1.047
HD 134606 d,HD 134606,Radial Velocity,2024,966.5,,,5576,1.158,1.046
Kepler-1997 b,Kepler-1997,Transit,2023,26.75749969,2.44300008,,6215,1.052,1.111
HD 43691 b,HD 43691,Radial Velocity,2007,36.9987,,,6093,1.6,1.32
HD 164509 b,HD 164509,Radial Velocity,2010,282.4,,,5922,1.06,1.13
HD 175167 b,HD 175167,Radial Velocity,2009,1175,,4703.860424,,,1.09
Kepler-1184 b,Kepler-1184,Transit,2016,53.59889507,,,5922,1.02417,1.08
Kepler-640 b,Kepler-640,Transit,2016,22.24820572,,,5581.5,1.04068,0.99
TOI-2048 b,TOI-2048,Transit,2022,13.7905315,2.60168,,5021.6,0.76,
WASP-100 b,WASP-100,Transit,2014,2.84938206,,,,,
Kepler-160 b,Kepler-160,Transit,2014,4.309381978,1.89,,5541,1.089,0.929
Kepler-222 c,Kepler-222,Transit,2014,10.08881066,,,5154,0.850048,0.87
Kepler-221 d,Kepler-221,Transit,2014,10.041555,2.81,,5324,0.81,0.816
K2-274 b,K2-274,Transit,2018,14.130142,2.41,,,0.794,
HD 176986 b,HD 176986,Radial Velocity,2017,6.4898,,,4931,0.782,0.789
Kepler-398 d,Kepler-398,Transit,2016,6.83437001,0.85,,4494,0.659,0.698
Kepler-151 c,Kepler-151,Transit,2014,24.67464211,2.09,,5460,0.818,0.874
Kepler-304 b,Kepler-304,Transit,2014,3.295703644,3.8,,4910,0.892,0.828
K2-117 c,K2-117,Transit,2017,5.44425,1.94,,3676,0.513,0.532
HD 114783 b,HD 114783,Radial Velocity,2001,496.9,,,5084,0.839444,0.85
Kepler-625 b,Kepler-625,Transit,2016,7.75192755,1.89,,5604,0.912,1.004
WASP-47 d,WASP-47,Transit,2015,9.03079,3.6,10.4,5576,1.11133,0.984
HAT-P-8 b,HAT-P-8,Transit,2008,3.0763373,,483.1016,6200,,
Kepler-1238 b,Kepler-1238,Transit,2016,4.14787559,1.57,,6337,1.198,1.26
Kepler-1981 b,Kepler-1981,Transit,2023,453.543999,3.71,,6109,1.179,1.038
K2-85 b,K2-85,Transit,2016,0.684559,1.2,,4427,0.68,
Kepler-26 c,Kepler-26,Transit,2011,17.25121397,,,4486,0.460589,0.7
KOI-2513.01,KOI-2513,Transit,2023,19.00547,2.80224517,7310.053361,5900,1.2,0.91
Kepler-245 c,Kepler-245,Transit,2014,17.46082827,,,5031,0.834548,0.84
Kepler-841 b,Kepler-841,Transit,2016,124.4198398,4.67,,5446,0.72,0.781
Kepler-465 b,Kepler-465,Transit,2016,9.940666412,2.87,,6215,1.259,1.17
Kepler-175 c,Kepler-175,Transit,2014,34.035257,3.1,,6064,1.01,
Kepler-1783 b,Kepler-1783,Transit,2021,8.27741559,,,5111.02,0.758799,0.859
Kepler-1047 b,Kepler-1047,Transit,2016,56.1886436,,,5566.56,1.75095,0.98
Kepler-339 c,Kepler-339,Transit,2014,6.98800953,,,5495.56,0.769161,0.96
GJ 1214 b,GJ 1214,Transit,2009,1.58040433,2.742,8.17,3250,0.215,0.178
HD 11964 b,HD 11964,Radial Velocity,2005,1945,,,5303,2.00971,0.91
Kepler-728 b,Kepler-728,Transit,2016,,4.624,,5905,1.317,
Kepler-1543 b,Kepler-1543,Transit,2016,6.96704926,,,6620.14,1.33155,1.39
Qatar-10 b,Qatar-10,Transit,2019,1.645321,17.295487,233.92288,6124,1.254,1.156
Kepler-135 c,Kepler-135,Transit,2014,11.4485946,1.07,,6388,1.209,1.187
Kepler-1695 b,Kepler-1695,Transit,2020,4.73292085,1.03,,5583,0.79,0.865
CoRoT-12 b,CoRoT-12,Transit,2010,2.828042,15.13215,281.91521,5675,1.046,1.018
Kepler-825 b,Kepler-825,Transit,2016,3.773682,1.41,,6290,1.09,1.12
Kepler-1620 b,Kepler-1620,Transit,2016,101.9520232,,,,,
HAT-P-33 b,HAT-P-33,Transit,2011,3.47447703,,,6446,1.637,1.375
K2-283 b,K2-283,Transit,2018,1.921076,3.8,,,0.86,
Kepler-196 d,Kepler-196,Transit,2021,122.0800018,2.66065673,,5132,0.77,0.805
HD 108874 c,HD 108874,Radial Velocity,2005,,,,,,0.99
WASP-100 b,WASP-100,Transit,2014,2.849375,18.94321,645.1949,,2,1.57
Kepler-708 b,Kepler-708,Transit,2016,3.167891938,2.87,,5895,0.94,1.026
KELT-6 b,KELT-6,Transit,2014,7.8456049,,,,,
Kepler-783 b,Kepler-783,Transit,2016,4.29263699,0.68,,5357,0.863,0.854
WASP-187 b,WASP-187,Transit,2020,5.1478828,,,,,
Kepler-158 b,Kepler-158,Transit,2014,16.70920692,2.419,,4618,0.639,0.652
Kepler-1534 b,Kepler-1534,Transit,2016,5.71668872,1.95,,5638,0.883,0.875
Kepler-24 e,Kepler-24,Transit,2014,18.9985279,,,5998.38,1.09069,1.11
Kepler-1019 b,Kepler-1019,Transit,2016,1.411229847,1.36,,4350,0.625,0.611
Kepler-257 c,Kepler-257,Transit,2014,6.58148439,,,4972,0.87259,0.82
Kepler-578 b,Kepler-578,Transit,2016,1.616883696,2.54,,5417,1.066,0.877
HATS-30 b,HATS-30,Transit,2016,3.17435131,,,5943,1.061,1.093
Kepler-443 b,Kepler-443,Transit,2015,177.669112,2.069,,4781,0.697,0.752
Kepler-223 e,Kepler-223,Transit,2014,19.7240891,31.46,,5825,1.003,0.902
Kepler-1334 b,Kepler-1334,Transit,2016,15.64585493,,,5674,1.06825,1.01
WASP-46 b,WASP-46,Transit,2011,1.4303707,,,5600,0.858,0.828
Kepler-401 d,Kepler-401,Transit,2016,184.262741,,,6132,1.70021,1.16
Kepler-1894 b,Kepler-1894,Transit,2021,2.76263462,1.26,,5772,0.901,0.999
Kepler-106 d,Kepler-106,Transit,2014,23.9802348,0.99,,5881,1.029,0.944
Kepler-722 b,Kepler-722,Transit,2016,4.093573252,2.46,,6077,0.999,1.077
WASP-190 b,WASP-190,Transit,2019,5.3677675,,,6400,1.6,1.35
K2-381 b,K2-381,Transit,2022,7.939256,1.08322371,,4661,0.645652,
Kepler-580 b,Kepler-580,Transit,2016,,2.336,,4213,0.63,
Kepler-259 b,Kepler-259,Transit,2014,8.115313,2.9,,5931,0.91,1.015
WASP-60 b,WASP-60,Transit,2012,4.3050011,9.64,163.358,5900,1.14,1.078
Kepler-137 c,Kepler-137,Transit,2014,18.73577127,,,5265,0.858396,0.9
KOI-1783.02,KOI-1783,Transit,2020,284.0423,5.2,,6235,1.03,1.115
KOI-94 e,KOI-94,Transit,2013,54.31998605,6.116,,,,1.177
Kepler-194 b,Kepler-194,Transit,2014,2.092269993,1.48,,6085,1.005,0.962
Kepler-514 b,Kepler-514,Transit,2016,,1.859,,6155,1.34,
Kepler-321 b,Kepler-321,Transit,2014,,1.519,,5741,0.993,
HAT-P-29 b,HAT-P-29,Transit,2011,5.723186,12.408,247.261,6087,1.224,1.207
Kepler-618 b,Kepler-618,Transit,2016,3.595769645,2.39,,6108,1.011,1.052
WASP-106 b,WASP-106,Transit,2014,9.289715,12.161765,606.73747,6000,1.393,1.192
Kepler-712 c,Kepler-712,Transit,2016,226.89047,4.48,,5330,0.718,0.77
Kepler-1096 b,Kepler-1096,Transit,2016,2.892217506,1.17,,4156,0.594,0.602
Kepler-1818 b,Kepler-1818,Transit,2021,4.64495172,,,5908,1.28905,1.07
XO-1 b,XO-1,Transit,2006,3.941501,,,5729,0.919086,1.023
HD 192310 b,HD 192310,Radial Velocity,2011,74.062,,,5181.11,0.857922,0.844324
Kepler-542 b,Kepler-542,Transit,2016,13.14497566,1.8,,5696,1.001,0.954
Kepler-1188 b,Kepler-1188,Transit,2016,17.1369543,2.17,,6217,1.09,1.098
K2-381 c,K2-381,Transit,2022,16.034656,2,,4473,0.675,0.754
Kepler-80 d,Kepler-80,Transit,2014,3.072149196,1.7,,4638,0.71,0.76
Kepler-659 b,Kepler-659,Transit,2016,,2.783,,4868,0.783,
KOI-984 b,KOI-984,Transit,2022,4.287455473,2.78,,5505,0.871,0.992
TIC 172900988 b,TIC 172900988 Aa,Transit,2021,151.2,,,,,1.23681
Kepler-666 b,Kepler-666,Transit,2016,4.49876092,2.21,,6075,0.969,1.048
Kepler-1334 b,Kepler-1334,Transit,2016,,2.492,,5891,1.046,
Kepler-1875 b,Kepler-1875,Transit,2021,34.4584231,2.01,,6150,0.851,0.95
Kepler-326 c,Kepler-326,Transit,2014,4.58,2.79,17.4,,1.593,0.93
OGLE-2019-BLG-0468L b,OGLE-2019-BLG-0468L,Microlensing,2022,,,1090.151436,,,0.92
Kepler-9 b,Kepler-9,Transit,2010,19.243,8.2,43.5,,,1
Kepler-400 b,Kepler-400,Transit,2014,9.024389,1.65,,5886,1.145,
Kepler-60 d,Kepler-60,Transit,2012,11.8984932,1.747,,5834,1.433,1
Kepler-1408 b,Kepler-1408,Transit,2016,2.99793191,0.84,,6295,1.236,1.068
HD 285507 b,HD 285507,Radial Velocity,2013,6.0881,,,4503,0.69,0.82
HD 38801 b,HD 38801,Radial Velocity,2009,696.29999,,,5277,2.38,1.64
Kepler-61 b,Kepler-61,Transit,2013,,2.696,,4158,0.63,0.665
Kepler-527 b,Kepler-527,Transit,2016,13.28534769,,,6283.5,1.22347,1.23
Kepler-1365 b,Kepler-1365,Transit,2016,7.699939,0.75,,5789,0.9,0.957
Kepler-1814 b,Kepler-1814,Transit,2021,2.93535874,,,4761,0.821079,0.77
HAT-P-12 b,HAT-P-12,Transit,2009,3.21305751,,,4650,0.701,0.733
Kepler-1135 b,Kepler-1135,Transit,2016,76.9611,2.07,,5886,1.08,0.964
Kepler-1087 b,Kepler-1087,Transit,2016,0.693842855,0.61,,5589,0.94,0.96
K2-100 b,K2-100,Transit,2016,1.67344228,,,6115.49,1.21742,1.153
Kepler-370 b,Kepler-370,Transit,2014,4.57950946,1.526,,5649,1.029,0.982
Kepler-299 b,Kepler-299,Transit,2014,2.92721119,,,5631,0.999357,1
Kepler-265 e,Kepler-265,Transit,2014,67.83183963,,,5963,0.942897,1.09
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,3.487,,,5400,,1.1
Kepler-547 b,Kepler-547,Transit,2016,6.010383339,3.8,,4882,0.738,0.718
Kepler-335 b,Kepler-335,Transit,2014,6.56228956,,,5928.73,1.84315,1.08
Kepler-146 c,Kepler-146,Transit,2014,76.7325168,2.91,,6197,1.06,0.986
Kepler-131 c,Kepler-131,Transit,2014,25.51571026,,,5755,1.03161,1.03
KOI-1257 b,KOI-1257,Transit,2014,86.64764448,9.4,,5522,1.12,0.963
Kepler-1941 b,Kepler-1941,Transit,2021,31.3351397,1.99,,6418,1.171,1.241
HATS-45 b,HATS-45,Transit,2018,4.187615382,13.90023688,,6675,1.23733,
Kepler-1836 b,Kepler-1836,Transit,2021,5.254169941,2.55303229,,6123,0.987,1.053
EPIC 220674823 b,EPIC 220674823,Transit,2016,0.571336,1.8,,,0.97,
Kepler-549 c,Kepler-549,Transit,2016,117.040498,2.93,,5360,0.84,0.88
Kepler-386 c,Kepler-386,Transit,2014,25.19368069,,,4993,0.841271,0.83
Kepler-189 b,Kepler-189,Transit,2014,10.40006,1.17,,5220,0.72,0.824
HD 40979 b,HD 40979,Radial Velocity,2002,264.15,,,6089,,1.154
Kepler-171 b,Kepler-171,Transit,2014,4.166962173,2.44,,5641,0.831,0.908
Kepler-1481 b,Kepler-1481,Transit,2016,5.94220998,1.27,,4922,0.795,0.765
WASP-77 A b,WASP-77 A,Transit,2012,1.360029395,,529.311429,5617,0.91,0.903
HD 40307 c,HD 40307,Radial Velocity,2009,9.6184,,,4956,,0.77
Kepler-302 c,Kepler-302,Transit,2014,127.282184,12.45,,5740,1.22,
Kepler-51 c,Kepler-51,Transit,2012,85.316,6.4,3.9,,,1.1
Kepler-755 b,Kepler-755,Transit,2016,1.269090374,1.78,,5095,0.771,0.733
TOI-1136 e,TOI-1136,Transit,2022,18.80693,2.5456702,24,5805,0.9573,1.0404
Kepler-293 b,Kepler-293,Transit,2014,19.25404023,,,5412,0.870183,0.94
Kepler-207 b,Kepler-207,Transit,2014,1.611883974,,,5966,1.73156,1.09
Kepler-803 b,Kepler-803,Transit,2016,50.28638192,3.2,,5642,0.945,0.875
Kepler-271 b,Kepler-271,Transit,2014,10.43547805,1.247,,5470,0.849,0.829
Kepler-68 c,Kepler-68,Transit,2013,9.604869,1.11,,5793,1.242,1.075
Kepler-129 c,Kepler-129,Transit,2014,82.1997,2.04,,5795,1.36,1.185
Kepler-1392 b,Kepler-1392,Transit,2016,15.1410397,2.04,,5926,0.887,0.978
Kepler-1729 b,Kepler-1729,Transit,2021,4.220970154,3.89404186,,3837,0.517,0.544
Kepler-192 d,Kepler-192,Transit,2016,6.470296415,,,5500.71,0.987806,0.96
Kepler-41 b,Kepler-41,Transit,2011,1.85555754,10.5,,5730,0.97,0.98
Kepler-1339 b,Kepler-1339,Transit,2016,1.341555127,1.08,,5738,1.407,0.938
Kepler-1237 b,Kepler-1237,Transit,2016,,2.518,,5419,0.864,
TOI-216.01,TOI-216,Transit,2019,34.5073,,,5026,0.838,0.874
Kepler-42 b,Kepler-42,Transit,2011,1.2137672,0.78,,3068,0.17,0.13
K2-216 b,K2-216,Transit,2018,2.1747824,1.79105,,4542,0.71,
Kepler-79 b,Kepler-79,Transit,2012,13.484577,,10.3,,1.283,1.244
Kepler-1951 b,Kepler-1951,Transit,2021,20.6577602,0.88,,5497,0.9,0.782
Kepler-1408 b,Kepler-1408,Transit,2016,2.99792926,1.12,,5888,1.645,1.136
HD 159868 b,HD 159868,Radial Velocity,2006,1178.40002,,,5566,1.97,1.42
Kepler-1356 b,Kepler-1356,Transit,2016,0.634002937,1.45,,5238,0.752,0.836
Kepler-11 d,Kepler-11,Transit,2010,22.68714105,3.382,,,,0.986
Kepler-1050 b,Kepler-1050,Transit,2016,15.3787546,1.6,,6010,1.13,1.09
Kepler-377 b,Kepler-377,Transit,2014,12.5094525,1.491,,5924,1.172,1.043
Kepler-1689 b,Kepler-1689,Transit,2020,8.48293296,0.815,,5741,0.971,0.893
Kepler-220 c,Kepler-220,Transit,2014,9.03419765,,,4457.96,0.769859,0.699
WASP-8 b,WASP-8,Transit,2010,8.15872562,,,5600,,
KMT-2022-BLG-1013L b,KMT-2022-BLG-1013L,Microlensing,2023,,,98.52680617,,,0.18
HD 95089 c,HD 95089,Radial Velocity,2018,1785,,,4918,5.08,1.54
KOI-1833 d,Kepler-968,Transit,2021,7.684334874,1.95,,4397,0.577,0.568
Kepler-1182 b,Kepler-1182,Transit,2016,11.17394617,2.05,,5911,0.914,1.006
Kepler-228 d,Kepler-228,Transit,2014,11.09435443,,,5675,1.1757,1.01
Kepler-1166 b,Kepler-1166,Transit,2016,33.2406882,1.69,,5446,0.86,0.9
Kepler-976 b,Kepler-976,Transit,2016,105.9564148,3.96,,5232,0.83,0.87
Kepler-1983 b,Kepler-1983,Transit,2023,7.32851947,,,5022,0.759486,0.835
Kepler-975 b,Kepler-975,Transit,2016,1.9703213,1.5,,4765,0.7,0.68
Kepler-111 b,Kepler-111,Transit,2014,,1.519,,5905,1.123,
K2-121 b,K2-121,Transit,2017,5.1857539,7.52,,4690,0.67,0.69
Kepler-272 b,Kepler-272,Transit,2014,,1.871,,5439,1.233,
Kepler-396 c,Kepler-396,Transit,2013,88.51067812,,,5509.61,0.939951,0.967
Kepler-620 b,Kepler-620,Transit,2016,12.91385906,,,6142.88,1.30709,1.16
Kepler-127 d,Kepler-127,Transit,2014,,2.554,,6125,1.394,
WASP-75 b,WASP-75,Transit,2013,2.4841976,,,6100,1.26,1.14
Kepler-870 b,Kepler-870,Transit,2016,21.35870629,,,5725.95,1.06759,1.02
Kepler-152 c,Kepler-152,Transit,2014,88.2553729,2.96,,5176,0.738,0.826
Kepler-729 b,Kepler-729,Transit,2016,,5.045,,6010,1.318,
HD 175607 b,HD 175607,Radial Velocity,2015,29.01,,,5392,0.7,0.71
Kepler-1922 b,Kepler-1922,Transit,2021,13.2226208,1.47,,5933,0.861,0.95
HD 109749 b,HD 109749,Radial Velocity,2005,5.239891,,,5824,1.22,1.13
WASP-20 b,WASP-20,Transit,2015,4.8996284,16.388,98.841,5940,1.392,1.2
TOI-677 b,TOI-677,Transit,2020,11.2366063,,,6295,1.28,1.181
HD 39194 d,HD 39194,Radial Velocity,2021,33.91,,,5205,,0.67
HD 3167 b,HD 3167,Transit,2016,0.959641,1.67,4.97,5261,0.88,0.837
Kepler-157 c,Kepler-157,Transit,2014,13.5405,2.24,,5774,1.044,
Kepler-1668 b,Kepler-1668,Transit,2020,15.43400996,,,5542,1.01738,0.98
Kepler-223 b,Kepler-223,Transit,2014,7.384430535,,,5803,1.51701,1.04
Kepler-1670 b,Kepler-1670,Transit,2020,20.4998763,2.8,,6249,1.076,1.13
Kepler-377 b,Kepler-377,Transit,2014,12.5094525,1.16,,6167,0.913,0.933
Kepler-260 c,Kepler-260,Transit,2014,76.0498163,1.75,,5251,0.849,0.821
Kepler-1112 b,Kepler-1112,Transit,2016,14.36267939,2.55,,6661,1.29,1.33
TOI-4791 b,TOI-4791,Transit,2023,4.2809767,13.0113,,5964,1.49,
Kepler-623 b,Kepler-623,Transit,2016,9.07098164,2.94,,5672,0.929,1.008
Kepler-1447 b,Kepler-1447,Transit,2016,56.6747285,2.84,,5910,0.94,1.032
Kepler-969 b,Kepler-969,Transit,2016,34.17319689,,,5216.22,0.782639,0.89
Kepler-445 b,Kepler-445,Transit,2015,,0.576,,3157,0.187,0.159
Kepler-172 e,Kepler-172,Transit,2014,35.1188577,,,5429,1.08963,0.95
MOA-2008-BLG-379L b,MOA-2008-BLG-379L,Microlensing,2013,,,1300,,,0.56
HATS-52 b,HATS-52,Transit,2017,1.36665436,15.490838,711.9392,6010,1.046,1.111
KOI-351 d,KOI-351,Transit,2013,59.7371443,,,6031.13,1.24773,1.12
Kepler-698 b,Kepler-698,Transit,2016,,6.064,,5875,1.595,
Kepler-1377 b,Kepler-1377,Transit,2016,0.740928422,1.32,,5618,0.874,0.87
HD 204313 b,HD 204313,Radial Velocity,2010,2041.11539,,1466.778098,,,1.03
Kepler-268 b,Kepler-268,Transit,2014,25.9340674,2.35,,6322,1.131,1.074
TOI-564 b,TOI-564,Transit,2020,1.65114558,7.7514065,,5752,1.12196,
Kepler-902 b,Kepler-902,Transit,2016,40.1099547,2.49,,5960,0.906,0.983
Kepler-1555 b,Kepler-1555,Transit,2016,8.10501635,1.55,,6208,1.009,1.072
K2-34 b,K2-34,Transit,2016,2.995633,13.96,,6071,1.44,1.15
TOI-880.02,TOI-880,Transit,2024,2.573594282,2.77792285,,4935,0.816999,
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,Microlensing,2018,,,,,,
XO-4 b,XO-4,Transit,2010,4.1250828,14.425983,491.68301,6397,1.531,1.285
Kepler-141 c,Kepler-141,Transit,2014,7.01062745,1.63,,4996,0.79,0.84
GJ 436 b,GJ 436,Radial Velocity,2004,2.64389846,,,3456,0.425432,0.419868
Kepler-363 c,Kepler-363,Transit,2014,7.542383639,,,5529.7,1.65796,0.97
Kepler-131 b,Kepler-131,Transit,2014,16.092,2.41,16.13,5685,1.03,1.02
Kepler-149 d,Kepler-149,Transit,2014,160.0200597,3.84,,5377,0.9,0.92
Kepler-335 b,Kepler-335,Transit,2014,6.56225728,1.69,,6003,0.932,1.019
Kepler-1192 b,Kepler-1192,Transit,2016,25.20299395,,,5511,0.946325,0.97
Kepler-879 b,Kepler-879,Transit,2016,33.3856176,,,5644,1.08687,1
Kepler-82 b,Kepler-82,Transit,2012,26.444,3.95,51,,0.928,0.97
Kepler-190 c,Kepler-190,Transit,2014,3.763041531,,,5088,0.774964,0.85
K2-136 d,K2-136,Transit,2017,25.575065,1.45,,4499,0.66,0.74
Kepler-452 b,Kepler-452,Transit,2015,384.843022,1.13,,5578,0.794,0.87
Kepler-883 b,Kepler-883,Transit,2016,12.98495573,1.53,,6212,0.945,0.838
Kepler-874 b,Kepler-874,Transit,2016,40.0686713,,,5747,1.18184,1.03
Kepler-278 b,Kepler-278,Transit,2014,30.159863,4.23,,4991,2.935,1.298
Kepler-107 d,Kepler-107,Transit,2014,7.95792901,,,5805,1.50416,1.04
Kepler-1683 b,Kepler-1683,Transit,2020,15.03353729,,,5429,0.900327,0.95
Kepler-215 c,Kepler-215,Transit,2014,14.6673,1.57,,5922,1.07,0.977
Kepler-215 b,Kepler-215,Transit,2014,9.36059705,,,5697.97,0.896627,1.015
Kepler-142 c,Kepler-142,Transit,2014,4.761705259,2.78,,5726,1.243,0.933
HIP 55507 b,HIP 55507,Radial Velocity,2022,5138.43727,,2585.534091,,,0.65
Kepler-1946 b,Kepler-1946,Transit,2021,3.035208688,3163.54,,5505,0.873,0.887
Kepler-926 b,Kepler-926,Transit,2016,52.06878869,,,5733,1.23679,1.02
HD 7449 b,HD 7449,Radial Velocity,2011,1275,,,6047,0.97,1.14
Kepler-515 b,Kepler-515,Transit,2016,19.96371318,1.75,,5780,1,1
Kepler-1718 b,Kepler-1718,Transit,2021,135.1898,2.52,,5714,0.909,0.84
HIP 67522 b,HIP 67522,Transit,2020,6.959503,10.07,,5675,1.38,1.22
Kepler-271 c,Kepler-271,Transit,2014,7.41086267,0.95,,5555,0.87,0.9
Kepler-17 b,Kepler-17,Transit,2011,1.485710994,14.48,,5624,1.018,1.021
